경마장,경주일,년월,경주번호,등급,경주거리,출주두수,신마수,정산여부,actual_top3,m_rank_top4,r_pop_top4,m_rank_top6,r_pop_top6,overlap_1to4,m_BOX4_hit,m_BOX4_refund,m_BOX4_bet,r_BOX4_hit,r_BOX4_refund,r_BOX4_bet,m_BOX6_hit,m_BOX6_refund,m_BOX6_bet,r_BOX6_hit,r_BOX6_refund,r_BOX6_bet
부산,20240121,202401,6,2등급,1800.0,11,0,SETTLED,"1,2,9","2,1,6,7","1,5,2,4","2,1,6,7,11,3","1,5,2,4,3,9",2,0,0.0,400,0,0.0,400,0,0.0,2000,1,7600.0,2000
부산,20240126,202401,2,국6등급,1400.0,11,1,SETTLED,"2,4,7","5,7,2,11","7,5,2,11","5,7,2,11,10,1","7,5,2,11,10,4",4,0,0.0,400,0,0.0,400,0,0.0,2000,1,1550.0,2000
부산,20240126,202401,3,국6등급,1600.0,11,0,SETTLED,"3,8,11","11,3,1,10","11,8,7,3","11,3,1,10,7,4","11,8,7,3,1,10",2,0,0.0,400,1,1430.0,400,0,0.0,2000,1,1430.0,2000
부산,20240126,202401,4,국5등급,1400.0,11,0,SETTLED,"6,8,9","9,6,7,4","9,5,6,7","9,6,7,4,2,10","9,5,6,7,8,1",3,0,0.0,400,0,0.0,400,0,0.0,2000,1,1120.0,2000
부산,20240126,202401,5,국5등급,1300.0,11,1,SETTLED,"6,7,8","9,4,11,6","9,7,6,4","9,4,11,6,1,10","9,7,6,4,11,1",3,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20240126,202401,6,국5등급,1200.0,11,1,SETTLED,"3,9,10","6,9,8,2","6,2,3,1","6,9,8,2,1,10","6,2,3,1,9,10",2,0,0.0,400,0,0.0,400,0,0.0,2000,1,1900.0,2000
부산,20240126,202401,7,혼4등급,1800.0,11,0,SETTLED,"7,9,10","10,7,3,6","7,10,11,1","10,7,3,6,11,4","7,10,11,1,9,2",2,0,0.0,400,0,0.0,400,0,0.0,2000,1,3670.0000000000005,2000
부산,20240126,202401,8,혼3등급,1400.0,11,0,SETTLED,"7,8,10","7,4,11,6","7,4,8,11","7,4,11,6,1,8","7,4,8,11,3,1",3,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20240128,202401,2,국6등급,1300.0,11,0,SETTLED,"9,10,11","6,9,11,2","6,9,11,8","6,9,11,2,8,10","6,9,11,8,10,3",3,0,0.0,400,0,0.0,400,1,7180.0,2000,1,7180.0,2000
부산,20240128,202401,3,국5등급,1800.0,11,0,SETTLED,"3,9,10","10,1,5,2","10,5,9,6","10,1,5,2,7,9","10,5,9,6,7,8",2,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
